ID,Nume,Concurs,Profesor,grupa,dificultate,URL
81,triunghi3,XOR 2011,Prof. Dan Pracsiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1217,
82,dartz,ONIG 2010,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1046,
83,nrcuv,.campion 2008,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=68,
84,sms,.campion 2003,Prof. Marinel Şerban,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=582,
85,reforma,OMI Iaşi 2006,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=828,
86,tren,.campion 2008,Prof. Doru Popescu Anastasiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=96,
87,timer,.campion 2009,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=968,
88,sport1,ONI 2006,Prof. Ilie Vieru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=775,
89,paritate,OJI 2007,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=843,
90,ecuatii,OJI 2006,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=816,
91,efort,.campion 2009,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=961,
92,circular,.campion 2003,Prof. Nistor-Eugen Moţ,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=586,
93,piramida,OJI 2006,Prof. Cristina Iordaiche,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=826,
94,secvb,XOR 2011,Prof. Dan Pracsiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1221,
95,test1,OJI 2007,Prof. Roxana Tîmplaru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=844,
96,culmi,Şansa de a deveni campion 2002,Prof. Marinel Şerban,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=674,
97,panglica,ONI 2002,Prof. Rodica Pintea,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=955,
98,zar,OJIGIM 2010,Prof. Cristina Iordaiche,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1017,
99,grupe2,OJI 2011,Prof. Roxana Tîmplaru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1246,
100,pajura,.campion 2007,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=248,
101,posta,ONI 2011,stud.  Cosmin-Mihai Tutunaru,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1277,
102,reactii,ONI 2009,Prof. Marinel Şerban,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=168,
103,ferma,Şansa de a deveni campion 2002,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=690,
104,joc13,OJI 2004,,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=892,
105,bursa,OMI Iaşi 2010,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=987,
106,bile3,.campion 2005,Radu Boriga,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=382,
107,zid,.campion 2005,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=395,
108,radioactiv,LOT AR 2011,Prof. Rodica Pintea,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1332,
109,jucarii,.campion 2009,Prof. Doru Popescu Anastasiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1072,
110,expresie2,ONI 2011,Prof. Stelian Ciurea,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1298,
111,pav,Lot IS 2008,Prof. Doru Popescu Anastasiu,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=639,
112,factura,.campion 2007,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=176,
113,nice,.campion 2008,Prof. Sergiu Corlat,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=46,
114,schi,Şansa de a deveni campion 2002,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=686,
115,palc,.campion 2009,Prof. Sergiu Corlat,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=979,
116,text2,.campion 2005,Prof. Doru Popescu Anastasiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=367,
117,adunscad,OJI 2011,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1242,
118,fagure,ONI 2011,Prof. Daniela Tarasă,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1282,
119,pluricex,OJI 2008,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=187,
120,razboi,FII Competition 2011,Prof. Marinel Şerban,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1312,
121,pachete,.campion 2004,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=513,
122,film,.campion 2008,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=43,
123,pc,.campion 2007,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=249,
124,monkey,Şansa de a deveni campion 2002,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=713,
125,cd1,Lot VN 2010,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1129,
126,parcela,.campion 2010,Prof. Doru Popescu Anastasiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1231,
127,dir,OJI 2007,Prof. Alin Burţa,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=839,
